1 0,0,0
1 30,0,0
1 60,30,0
1 60,0,0
1 90,30,0
1 90,0,0
1 120,30,0
1 120,0,0
1 150,60,0
1 150,0,0
1 180,60,0
1 180,0,0
1 210,90,0
1 210,60,0
1 210,0,0
1 240,90,0
1 240,0,0
1 270,90,0
1 270,0,0
1 300,120,0
1 300,90,0
1 330,120,0
1 360,150,0
1 360,120,0
1 390,150,0
1 420,150,0
1 450,150,0
1 480,180,0
1 480,150,0
1 510,180,0
1 510,150,0
1 540,210,0
1 540,180,0
1 570,240,0
1 570,210,0
1 600,240,0
1 600,210,0
1 630,270,0
1 630,240,0
1 630,210,0
1 660,330,0
1 660,300,0
1 660,270,0
1 660,240,0
1 690,360,0
1 690,330,0
1 690,300,0
1 690,270,0
1 720,360,0
1 720,330,0
1 720,300,0
