1 0,0,0
1 30,0,0
1 60,330,0
1 60,90,0
1 60,0,0
1 90,330,0
1 90,210,0
1 90,0,0
1 120,210,0
1 120,30,0
1 120,0,0
1 150,30,0
1 150,0,0
1 180,0,0
1 210,150,0
1 210,0,0
1 240,240,0
1 240,60,0
1 240,0,0
1 270,240,0
1 270,210,0
1 270,90,0
1 270,60,0
1 270,0,0
1 300,210,0
1 300,90,0
1 300,0,0
1 330,300,0
1 330,0,0
1 360,300,0
1 360,0,0
1 390,300,0
1 390,30,0
1 390,0,0
1 420,0,0
1 450,180,0
1 450,60,0
1 450,30,0
1 450,0,0
1 480,180,0
1 480,150,0
1 480,60,0
1 480,30,0
1 480,0,0
1 510,0,0
1 540,0,0
1 570,0,0
1 600,0,0
1 630,0,0
1 660,0,0
1 690,0,0
1 720,0,0
1 750,0,0
